Year,DOY,TEA_T,ET
2005,1,0.143563601,0.689457304
2005,2,0.008283232,1.254693177
2005,3,0.021387684,1.714485804
2005,4,0.041768523,1.334228066
2005,5,0.010015323,0.661421261
2005,6,0.091522824,0.737264977
2005,7,0.098081905,0.795955337
2005,8,0.092284001,0.521735045
2005,9,0.057841197,0.386481087
2005,10,0.134894817,0.6297587
2005,11,0.091282459,0.460144149
2005,12,0.043115998,0.652183056
2005,13,0.100873471,0.306497112
2005,14,0.069551181,0.309832305
2005,15,0.229449226,0.389565201
2005,16,0.196095472,0.255055589
2005,17,0.193375941,0.240924044
2005,18,0.151915133,0.272975196
2005,19,0.19063732,0.232166248
2005,20,0.142182751,0.168152208
2005,21,0.081718878,0.521097387
2005,22,0.072308838,1.440921978
2005,23,0.073607942,0.528360567
2005,24,0.058153289,0.994401398
2005,25,0.128524875,0.626146329
2005,26,0.072869785,0.536506224
2005,27,0.021116455,1.477520326
2005,28,0.085764616,0.599288128
2005,29,0.065201051,0.751354283
2005,30,0.042417509,0.377463393
2005,31,0.180474165,0.440187189
2005,32,0.156949453,0.269304316
2005,33,0.112563314,0.297423041
2005,34,0.116036706,0.238049851
2005,35,0.005485435,0.334388605
2005,36,0.060603037,0.640405034
2005,37,0.05421023,1.218622623
2005,38,0.144660431,0.726842086
2005,39,0.205720455,0.372780215
2005,40,0.160423015,0.416860356
2005,41,0.068780491,0.443069706
2005,42,0.046842007,0.846496045
2005,43,0.017085077,2.647313118
2005,44,0.066691132,0.804132931
2005,45,0.202364906,0.748937449
2005,46,0.096739969,0.742924086
2005,47,0.085137103,0.425113727
2005,48,0.107964915,0.56742787
2005,49,0.405694079,0.843352448
2005,50,0.231884204,0.658908884
2005,51,0.06517223,0.936223632
2005,52,0.499072013,0.625991566
2005,53,0.261615775,1.139096201
2005,54,0.416089055,0.847363395
2005,55,0.289641818,0.332886374
2005,56,0.280075608,0.365424227
2005,57,0.287504696,0.488292651
2005,58,0.080821132,0.765160513
2005,59,0.445070083,0.672389803
2005,60,0.235274608,0.353650977
2005,61,0.400720423,0.561158735
2005,62,0.37785532,0.46284677
2005,63,0.245547811,0.245547811
2005,64,0.233617055,0.233617055
2005,65,0.239843771,0.488130128
2005,66,0.255256455,1.092095548
2005,67,0.103577861,0.436970527
2005,68,0.336919884,0.503930822
